Region and Local Authority,ONS Code,Underweight_number,Underweight_percent,"Lower
CI","Upper 
CI",Healthyweight_number,Healthyweight_percent,"Lower
CI","Upper 
CI",Overweight_number,Overweight_percent,"Lower
CI","Upper 
CI",Obese_number,Obese_percent,"Lower
CI","Upper 
CI",Severely obese_number,Severely obese_percent,"Lower
CI","Upper 
CI",overandobese_number,overandobese_percent,"Lower
CI","Upper 
CI",Total number of children
ENGLAND1,E92000001,8310,1.383964333,1.354724582,1.413826137,386216,64.32119964,64.19993917,64.44227685,84514,14.07513377,13.98740146,14.16332575,121409,20.21970226,20.11830426,20.32148129,26158.00,4.36,4.31,4.41,205923.00,34.29,34.17,34.42,600449.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST,E12000001,346,1.205364919,1.085494213,1.338293803,17602,61.32032747,60.75545344,61.88217201,4220,14.70127156,14.29634017,15.11564941,6537,22.77303606,22.29156116,23.2617973,1483.00,5.17,4.92,5.43,10757.00,37.47,36.92,38.04,28705.00
County Durham,E06000047,69,1.218220339,0.963787002,1.538778743,3460,61.08757062,59.81074659,62.34936515,868,15.32485876,14.41025462,16.28646602,1267,22.36935028,21.30303363,23.47312105,299.00,5.28,4.73,5.89,2135.00,37.69,36.44,38.96,5664.00
Darlington,E06000005,10,0.834724541,0.454031763,1.529712319,738,61.60267112,58.81570199,64.31546876,181,15.10851419,13.1922376,17.24783885,269,22.45409015,20.18136409,24.90290679,52.00,4.34,3.33,5.65,450.00,37.56,34.86,40.34,1198.00
Gateshead,E08000037,22,1.150627615,0.761080167,1.736071077,1167,61.03556485,58.82962023,63.1972546,261,13.65062762,12.18442997,15.26259371,462,24.16317992,22.29744747,26.13252332,96.00,5.02,4.13,6.09,723.00,37.81,35.67,40.01,1912.00
Hartlepool,E06000001,12,1.039861352,0.595833704,1.808766564,637,55.19930676,52.3176109,58.04650234,194,16.81109185,14.76435035,19.07806009,311,26.94974003,24.46936084,29.58307043,73.00,6.33,5.06,7.88,505.00,43.76,40.92,46.64,1154.00
Middlesbrough,E06000002,29,1.592531576,1.11109188,2.277775603,1069,58.70400879,56.42657472,60.94479738,273,14.99176277,13.42588242,16.70503423,450,24.71169687,22.7851935,26.74466864,111.00,6.10,5.09,7.29,723.00,39.70,37.48,41.97,1821.00
Newcastle upon Tyne,E08000021,30,1.030573686,0.722841339,1.467379286,1706,58.60529028,56.80585605,60.38204275,459,15.7677774,14.48910726,17.13667657,716,24.59635864,23.06607208,26.19360393,185.00,6.36,5.53,7.30,1175.00,40.36,38.60,42.16,2911.00
North Tyneside,E08000022,23,1.003928416,0.669901505,1.501989656,1461,63.77127892,61.78151497,65.71493789,312,13.6185072,12.27479912,15.08401717,495,21.60628546,19.96929835,23.33833212,116.00,5.06,4.24,6.04,807.00,35.22,33.30,37.20,2291.00
